Ativo;Descricao;Tipo
Artesanal FIC de FIM;Artesanal FIC de FIM;Fundos
Daycoval Classic FIRF CP;Daycoval Classic FIRF CP;Fundos
Nu Ultravioleta Multimercado;Nu Ultravioleta Multimercado;Fundos
GOGL34;ALPHABET;BDRs
ECOR3;ECORODOVIAS ON;BDRs
AMZO34;AMAZON;BDRs
MSFT34;MICROSOFT;BDRs
COCA34;COCA COLA;BDRs
CAML3;CAMIL ON;Ações
CDI - 89%;CDI - 89%;CDI
CDI - 100%;CDI 100% - Resgate diário;CDI
